Altitude (m),Temperature (deg C),Gravity (m/s2),Pressure (N/m2),Density (kg/m3),Dynamic Viscosity (N*s/m2)
22600,-53.9800643825734,9.737289593868319,3688.0460284197748,0.05862103192214754,1.435427978246073e-05
22700,-53.880773218322645,9.736984326522228,3631.418099940878,0.05769480042184089,1.4359709105391855e-05
22800,-53.781485166859284,9.736679073531267,3575.686444228657,0.05678364144168389,1.436513719640489e-05
22900,-53.682200228036976,9.736373834894534,3520.8364529356063,0.05588730260355518,1.4370564056066863e-05
23000,-53.58291840170938,9.73606861061113,3466.853762686376,0.05500553587384881,1.4375989684944496e-05
23100,-53.48363968773009,9.735763400680153,3413.7242508549552,0.05413809748665137,1.4381414083604203e-05
23200,-53.38436408595277,9.735458205100702,3361.4340314164456,0.05328474786831064,1.4386837252612086e-05
23300,-53.2850915962311,9.735153023871883,3309.969450872275,0.05244525156337314,1.4392259192533935e-05
23400,-53.185822218418735,9.734847856992788,3259.317084247597,0.05161937716186632,1.4397679903935237e-05
23500,-53.086555952369366,9.734542704462523,3209.4637311593074,0.05080689722789641,1.4403099387381154e-05
23600,-52.98729279793665,9.734237566280191,3160.3964119536513,0.05000758822954134,1.4408517643436555e-05
23700,-52.88803275497429,9.733932442444887,3112.102363912082,0.04922123047001361,1.4413934672665993e-05
23800,-52.78877582333601,9.733627332955717,3064.569037523988,0.0484476080200671,1.4419350475633709e-05
23900,-52.68952200287552,9.733322237811773,3017.7840928252467,0.0476865086516275,1.4424765052903634e-05
24000,-52.59027129344656,9.733017157012164,2971.7353958015283,0.04693772377262539,1.4430178405039393e-05
24100,-52.49102369490282,9.732712090555985,2926.4110148547534,0.04620104836300308,1.4435590532604294e-05
24200,-52.39177920709807,9.732407038442343,2881.799217331924,0.04547628091187908,1.4441001436161346e-05
24300,-52.29253782988607,9.732102000670334,2837.888466115216,0.044763223355849084,1.444641111627324e-05
24400,-52.193299563120576,9.73179697723906,2794.667416271921,0.04406168101839746,1.4451819573502364e-05
24500,-52.09406440665532,9.731491968147624,2752.1249117634434,0.043371462550403486,1.4457226808410785e-05
24600,-51.994832360344134,9.731186973395127,2710.249982212165,0.042692379871719886,1.4462632821560271e-05
24700,-51.895603424040786,9.730881992980667,2669.031839725169,0.042024248113804605,1.4468037613512278e-05
24800,-51.79637759759905,9.730577026903347,2628.459875773744,0.04136688556338541,1.447344118482795e-05
24900,-51.69715488087277,9.73027207516227,2588.5236581277136,0.04072011360713909,1.4478843536068127e-05
25000,-51.597935273715734,9.729967137756537,2549.2129278435896,0.04008375667736631,1.4484244667793332e-05
25100,-51.498718775981786,9.729662214685247,2510.5175963055963,0.03945764219864395,1.4489644580563775e-05
25200,-51.399505387524755,9.729357305947504,2472.4277423185363,0.03884160053543576,1.4495043274939375e-05
25300,-51.30029510819847,9.729052411542408,2434.933609251679,0.03823546494064543,1.4500440751479725e-05
25400,-51.20108793785681,9.728747531469063,2398.025602232733,0.03763907150509432,1.4505837010744114e-05
25500,-51.10188387635361,9.728442665726568,2361.6942853907835,0.03705225910790345,1.451123205329152e-05
25600,-51.00268292354275,9.728137814314028,2325.9303791477514,0.036474869367769974,1.4516625879680617e-05
25700,-50.90348507927811,9.727832977230541,2290.724757557081,0.03590674659511499,1.4522018490469763e-05
25800,-50.804290343413584,9.727528154475213,2256.0684456889485,0.0353477377450889,1.452740988621701e-05
25900,-50.70509871580305,9.727223346047142,2221.95261706133,0.03479769237142127,1.4532800067480105e-05
26000,-50.60591019630044,9.726918551945433,2188.3685911158595,0.03425646258109584,1.4538189034816474e-05
26100,-50.50672478475968,9.72661377216919,2155.3078307377546,0.033723902989836664,1.4543576788783242e-05
